rules,placement_strategy,shooting_strategy,n,mean,std,min,q1,median,q3,max,ci_lower,ci_upper
real_life,random,random,1000,95.61,4.77,71,94.0,97.0,99.0,100,95.32,95.91
real_life,random,parity,1000,55.2,8.77,29,49.0,56.0,62.0,71,54.65,55.74
real_life,random,hunt_target,1000,62.62,14.23,26,52.0,62.0,72.0,98,61.74,63.51
real_life,random,probability,1000,58.28,7.82,36,53.0,57.0,65.0,74,57.79,58.76
real_life,random,edge_first,1000,94.42,7.14,36,93.0,97.0,99.0,100,93.98,94.86
real_life,edge,random,1000,95.47,4.74,67,94.0,97.0,99.0,100,95.18,95.77
real_life,edge,parity,1000,55.05,8.73,27,49.0,56.0,62.0,72,54.51,55.59
real_life,edge,hunt_target,1000,62.4,13.82,26,52.0,62.0,72.0,97,61.54,63.26
real_life,edge,probability,1000,58.63,7.68,37,53.0,58.0,65.0,74,58.16,59.11
real_life,edge,edge_first,1000,91.63,8.8,53,88.0,94.0,98.0,100,91.09,92.18
real_life,corner,random,1000,95.67,4.62,70,94.0,97.0,99.0,100,95.38,95.96
real_life,corner,parity,1000,54.86,8.54,29,49.0,56.0,61.0,73,54.33,55.39
real_life,corner,hunt_target,1000,61.81,13.76,29,51.75,61.0,72.0,96,60.96,62.66
real_life,corner,probability,1000,58.58,7.64,37,53.0,58.0,65.0,74,58.1,59.05
real_life,corner,edge_first,1000,89.43,10.51,31,83.0,93.0,97.0,100,88.77,90.08
real_life,center,random,1000,95.66,4.7,71,94.0,97.0,99.0,100,95.37,95.95
real_life,center,parity,1000,54.44,8.99,28,48.0,56.0,62.0,74,53.88,55.0
real_life,center,hunt_target,1000,61.5,14.29,26,51.0,61.0,72.0,100,60.61,62.38
real_life,center,probability,1000,58.05,8.36,30,52.0,57.0,66.0,74,57.53,58.57
real_life,center,edge_first,1000,96.66,4.72,63,96.0,98.0,100.0,100,96.37,96.95
real_life,spread,random,1000,95.57,4.51,72,94.0,97.0,99.0,100,95.29,95.85
real_life,spread,parity,1000,56.74,7.31,32,51.0,58.0,62.0,71,56.29,57.19
real_life,spread,hunt_target,1000,65.66,13.34,34,55.75,65.0,75.0,99,64.83,66.49
real_life,spread,probability,1000,60.85,7.1,39,55.0,62.0,66.0,75,60.41,61.29
real_life,spread,edge_first,1000,94.16,6.44,58,92.0,96.0,99.0,100,93.76,94.56
real_life,random,all,5000,73.23,20.13,26,56.0,68.0,96.0,100,72.67,73.78
real_life,edge,all,5000,72.64,19.59,26,56.0,68.0,94.0,100,72.09,73.18
real_life,corner,all,5000,72.07,19.46,29,55.0,67.0,94.0,100,71.53,72.61
real_life,center,all,5000,73.26,20.84,26,55.0,68.0,96.0,100,72.68,73.84
real_life,spread,all,5000,74.6,18.73,32,58.0,69.0,95.0,100,74.08,75.12
real_life,all,random,5000,95.6,4.67,67,94.0,97.0,99.0,100,95.47,95.73
real_life,all,parity,5000,55.26,8.52,27,50.0,56.0,62.0,74,55.02,55.49
real_life,all,hunt_target,5000,62.8,13.97,26,52.0,62.0,73.0,100,62.41,63.18
real_life,all,probability,5000,58.88,7.79,30,53.0,59.0,66.0,75,58.66,59.09
real_life,all,edge_first,5000,93.26,8.17,31,91.0,96.0,99.0,100,93.03,93.49
real_life,all,all,25000,73.16,19.78,26,56.0,68.0,95.0,100,72.91,73.4
online,random,random,1000,88.89,5.4,67,86.0,90.0,93.0,100,88.55,89.23
online,random,parity,1000,54.59,6.34,31,50.75,55.0,59.0,69,54.2,54.99
online,random,hunt_target,1000,61.12,10.87,33,53.0,61.0,69.0,91,60.45,61.8
online,random,probability,1000,54.3,6.61,34,49.0,54.0,59.0,69,53.89,54.71
online,random,edge_first,1000,84.52,6.53,50,82.0,86.0,89.0,97,84.12,84.93
online,edge,random,1000,89.13,5.45,64,86.0,90.0,93.0,100,88.79,89.47
online,edge,parity,1000,54.53,6.59,34,50.0,55.0,59.25,68,54.12,54.94
online,edge,hunt_target,1000,60.96,10.67,31,53.0,61.0,69.0,89,60.3,61.62
online,edge,probability,1000,54.87,6.74,35,50.0,55.0,60.0,71,54.46,55.29
online,edge,edge_first,1000,81.02,8.68,35,77.0,83.0,87.0,95,80.48,81.56
online,corner,random,1000,89.24,5.35,62,86.0,90.0,93.0,100,88.91,89.57
online,corner,parity,1000,53.82,6.61,30,50.0,54.0,59.0,70,53.42,54.23
online,corner,hunt_target,1000,60.65,10.53,33,53.0,61.0,68.0,90,60.0,61.3
online,corner,probability,1000,54.95,6.31,34,50.0,56.0,60.0,70,54.56,55.34
online,corner,edge_first,1000,79.02,9.83,31,73.0,81.0,86.0,95,78.41,79.63
online,center,random,1000,88.85,5.78,61,86.0,90.0,93.0,100,88.49,89.21
online,center,parity,1000,54.93,6.32,31,51.0,56.0,59.0,69,54.53,55.32
online,center,hunt_target,1000,60.41,10.87,30,52.0,60.0,68.0,91,59.73,61.08
online,center,probability,1000,54.33,6.88,30,49.0,55.0,60.0,70,53.9,54.76
online,center,edge_first,1000,86.62,4.26,67,85.0,87.0,89.0,96,86.36,86.89
online,spread,random,1000,90.07,5.41,60,87.0,91.0,94.0,100,89.73,90.41
online,spread,parity,1000,53.79,6.79,32,49.0,55.0,59.0,69,53.37,54.21
online,spread,hunt_target,1000,61.35,11.9,30,53.0,61.0,70.0,92,60.61,62.09
online,spread,probability,1000,57.32,6.3,30,53.0,59.0,62.0,70,56.92,57.71
online,spread,edge_first,1000,82.21,6.26,54,80.0,84.0,86.0,93,81.82,82.6
online,random,all,5000,68.68,16.71,31,54.0,64.0,86.0,100,68.22,69.15
online,edge,all,5000,68.1,16.29,31,54.0,64.0,85.0,100,67.65,68.56
online,corner,all,5000,67.54,16.23,30,54.0,63.0,84.0,100,67.09,67.99
online,center,all,5000,69.03,17.02,30,55.0,64.0,87.0,100,68.56,69.5
online,spread,all,5000,68.95,16.37,30,56.0,65.0,85.0,100,68.49,69.4
online,all,random,5000,89.24,5.5,60,86.0,90.0,93.0,100,89.08,89.39
online,all,parity,5000,54.33,6.54,30,50.0,55.0,59.0,70,54.15,54.51
online,all,hunt_target,5000,60.9,10.98,30,53.0,61.0,69.0,92,60.59,61.2
online,all,probability,5000,55.15,6.66,30,50.0,56.0,60.0,71,54.97,55.34
online,all,edge_first,5000,82.68,7.83,31,80.0,85.0,88.0,97,82.46,82.9
online,all,all,25000,68.46,16.53,30,55.0,64.0,85.0,100,68.26,68.67
